benchmark,kernel_cpu_millis,user_cpu_millis,wall_clock_millis
ls /etc,0,0,2.899765
ls /etc,0,0,3.682341
ls /etc,0,0,4.272062
ls /etc,10,0,3.9861269999999998
ls /dev,0,0,3.307305
ls /dev,0,0,4.580744999999999
ls /etc,10,10,5.293398000000001
ls /etc,0,0,4.521938
ls /dev,0,0,4.251348999999999
ls /etc,0,0,3.301886
ls /dev,0,0,4.246276
ls /dev,10,0,4.419155
ls /dev,0,10,4.1879930000000005
ls /etc,0,0,4.75965
ls /etc,10,0,5.8314889999999995
ls /dev,0,0,4.417727
ls /etc,0,0,3.207976
ls /dev,10,0,3.7931779999999997
ls /dev,0,0,4.357997
ls /dev,0,0,4.091097
ls /etc,10,0,4.208648
ls /dev,0,0,5.584976999999999
ls /dev,0,0,5.052066
ls /dev,0,10,5.400701
ls /etc,10,0,4.830925
ls /etc,0,0,3.979476
ls /etc,0,0,4.390476
ls /etc,0,10,6.144102999999999
ls /etc,10,0,4.909294
ls /dev,0,0,5.630047
ls /dev,0,0,5.144615
ls /dev,0,0,4.3656049999999995
ls /dev,10,0,4.486493
ls /dev,0,10,4.8735100000000005
ls /dev,0,0,4.512548
ls /etc,0,0,4.283676
ls /dev,0,10,3.6798859999999998
ls /dev,0,0,2.376552
ls /etc,10,0,3.107858
ls /dev,0,0,3.040103
ls /dev,0,0,2.711589
ls /etc,0,0,2.773135
ls /dev,0,0,2.5804489999999998
ls /etc,0,0,2.874738
ls /dev,10,0,2.289461
ls /dev,0,10,2.557674
ls /etc,0,0,1.892871
ls /dev,0,0,2.021902
ls /dev,0,0,2.4454
ls /dev,0,0,2.4631649999999996
ls /dev,0,0,2.164157
ls /dev,0,0,1.892517
ls /etc,0,0,2.0522180000000003
ls /etc,10,0,1.895215
ls /etc,0,0,1.946974
ls /etc,0,0,1.9613030000000002
ls /etc,0,0,2.088287
ls /dev,0,0,2.664523
ls /etc,0,0,2.0280609999999997
ls /etc,0,0,1.999297
ls /dev,10,10,2.062259
ls /etc,0,0,2.2259189999999998
ls /etc,0,0,1.994249
ls /etc,0,0,2.2530639999999997
ls /etc,0,0,2.194444
ls /etc,0,0,2.096111
ls /etc,0,0,2.079751
